,state,type,clust
ALINF,AL,INF,a
ALAGR,AL,AGR,b
ALRET,AL,RET,a
ALTRA,AL,TRA,c
ALNDU,AL,NDU,d
ALHLT,AL,HLT,e
ALDUR,AL,DUR,f
ALACC,AL,ACC,f
ALUTI,AL,UTI,g
ALMNG,AL,MNG,h
ALADM,AL,ADM,i
ALMIN,AL,MIN,j
ALRER,AL,RER,k
ALEDC,AL,EDC,l
ALART,AL,ART,m
ALOTH,AL,OTH,d
ALFIN,AL,FIN,n
ALWHO,AL,WHO,o
ALPRO,AL,PRO,e
ALGOV,AL,GOV,p
ALCON,AL,CON,d
AKINF,AK,INF,f
AKAGR,AK,AGR,q
AKRET,AK,RET,b
AKTRA,AK,TRA,p
AKNDU,AK,NDU,r
AKHLT,AK,HLT,e
AKDUR,AK,DUR,m
AKACC,AK,ACC,r
AKUTI,AK,UTI,g
AKMNG,AK,MNG,k
AKADM,AK,ADM,l
AKMIN,AK,MIN,q
AKRER,AK,RER,k
AKEDC,AK,EDC,q
AKART,AK,ART,i
AKOTH,AK,OTH,d
AKFIN,AK,FIN,s
AKWHO,AK,WHO,c
AKPRO,AK,PRO,l
AKGOV,AK,GOV,g
AKCON,AK,CON,s
AZINF,AZ,INF,h
AZAGR,AZ,AGR,a
AZRET,AZ,RET,o
AZTRA,AZ,TRA,t
AZNDU,AZ,NDU,u
AZHLT,AZ,HLT,e
AZDUR,AZ,DUR,h
AZACC,AZ,ACC,v
AZUTI,AZ,UTI,g
AZMNG,AZ,MNG,f
AZADM,AZ,ADM,t
AZMIN,AZ,MIN,c
AZRER,AZ,RER,t
AZEDC,AZ,EDC,k
AZART,AZ,ART,f
AZOTH,AZ,OTH,j
AZFIN,AZ,FIN,w
AZWHO,AZ,WHO,o
AZPRO,AZ,PRO,h
AZGOV,AZ,GOV,x
AZCON,AZ,CON,j
ARINF,AR,INF,p
ARAGR,AR,AGR,b
ARRET,AR,RET,t
ARTRA,AR,TRA,j
ARNDU,AR,NDU,b
ARHLT,AR,HLT,e
ARDUR,AR,DUR,j
ARACC,AR,ACC,w
ARUTI,AR,UTI,g
ARMNG,AR,MNG,f
ARADM,AR,ADM,e
ARMIN,AR,MIN,k
ARRER,AR,RER,k
AREDC,AR,EDC,k
ARART,AR,ART,k
AROTH,AR,OTH,j
ARFIN,AR,FIN,q
ARWHO,AR,WHO,t
ARPRO,AR,PRO,h
ARGOV,AR,GOV,x
ARCON,AR,CON,d
CAINF,CA,INF,h
CAAGR,CA,AGR,f
CARET,CA,RET,a
CATRA,CA,TRA,t
CANDU,CA,NDU,r
CAHLT,CA,HLT,e
CADUR,CA,DUR,e
CAACC,CA,ACC,t
CAUTI,CA,UTI,i
CAMNG,CA,MNG,f
CAADM,CA,ADM,h
CAMIN,CA,MIN,q
CARER,CA,RER,f
CAEDC,CA,EDC,k
CAART,CA,ART,f
CAOTH,CA,OTH,j
CAFIN,CA,FIN,n
CAWHO,CA,WHO,t
CAPRO,CA,PRO,e
CAGOV,CA,GOV,t
CACON,CA,CON,j
COINF,CO,INF,m
COAGR,CO,AGR,b
CORET,CO,RET,t
COTRA,CO,TRA,f
CONDU,CO,NDU,u
COHLT,CO,HLT,e
CODUR,CO,DUR,i
COACC,CO,ACC,t
COUTI,CO,UTI,g
COMNG,CO,MNG,f
COADM,CO,ADM,t
COMIN,CO,MIN,f
CORER,CO,RER,e
COEDC,CO,EDC,k
COART,CO,ART,f
COOTH,CO,OTH,o
COFIN,CO,FIN,n
COWHO,CO,WHO,t
COPRO,CO,PRO,e
COGOV,CO,GOV,h
COCON,CO,CON,o
CTINF,CT,INF,h
CTAGR,CT,AGR,b
