0,a,b,c,d,e,f,g,h,i,j,k,l
2000-01-01,10344.8,241247.36666666664,58672.200000000004,40726.450000000004,201440.0333333333,33513.78333333333,5428.983333333333,15227.766666666666,1455.8999999999999,1139561.5666666667,349344.93333333335,52.08333333333333
2000-04-01,11198.533333333333,249538.35,62394.55000000001,42021.166666666664,212151.81666666668,35013.5,5963.6,16034.683333333334,1567.1333333333334,1158873.9666666668,354904.73333333334,52.400000000000006
2000-07-01,11164.283333333333,246976.58333333328,63529.88333333334,42738.61666666667,217912.1666666667,36724.666666666664,6356.616666666667,16601.23333333333,1624.3500000000001,1166247.433333333,353367.39999999997,61.5
2000-10-01,11202.283333333333,259780.38333333336,67401.61666666667,44410.13333333333,225995.23333333334,38394.21666666668,6286.466666666668,16711.749999999996,1653.8666666666666,1211223.4666666668,366420.0,65.46666666666668
2001-01-01,11185.066666666664,253675.4166666667,64194.71666666667,42526.74999999999,215393.8333333333,35884.13333333333,5865.716666666667,16249.233333333334,1564.85,1186996.866666667,363777.78333333327,57.63333333333333
2001-04-01,12082.33333333333,265302.95,68884.58333333333,44771.51666666667,226329.86666666667,38707.15,6526.750000000001,17354.1,1753.5500000000002,1208007.1833333333,370004.4666666667,56.849999999999994
2001-07-01,11816.783333333335,256227.91666666663,68082.83333333334,44650.9,229230.4,40429.68333333333,7016.1,17471.2,1738.283333333333,1205834.7666666666,368533.03333333344,63.066666666666656
2001-10-01,11771.683333333332,270710.14999999997,71208.93333333333,46316.45000000001,237356.5333333333,42758.933333333334,6766.433333333334,17296.583333333336,1789.033333333333,1238697.1,386850.5000000001,67.66666666666667
2002-01-01,11861.633333333333,266620.44999999995,67920.03333333334,44944.48333333334,229243.4666666666,39585.916666666664,6651.366666666668,17412.9,1788.6833333333334,1224175.7833333334,382085.99999999994,73.9
2002-04-01,12592.500000000002,274874.81666666665,71177.86666666668,45939.799999999996,239102.6000000001,42526.18333333334,7081.466666666666,18143.166666666668,1861.4333333333336,1231548.5333333332,389544.9166666667,72.73333333333333
2002-07-01,12208.383333333335,268391.85,69869.05,45639.85000000001,240666.5,43998.61666666667,7666.466666666665,18371.4,1908.6833333333336,1234742.4166666665,391142.1666666667,71.7
2002-10-01,12299.2,283233.2833333333,73772.08333333333,46996.41666666667,246869.81666666668,46229.4,7370.783333333334,18577.733333333334,1893.1833333333336,1267786.65,406181.5666666667,68.81666666666668
2003-01-01,12315.333333333334,276056.6,69194.31666666667,44981.94999999999,234962.60000000003,42645.1,6990.0666666666675,17694.866666666665,1794.5166666666667,1232599.8833333335,393851.75000000006,50.11666666666667
2003-04-01,13042.016666666665,283249.20000000007,72537.16666666667,46751.01666666665,243106.5,45316.2,7451.133333333333,18733.06666666667,1851.85,1222832.8666666667,396967.6666666667,50.16666666666667
2003-07-01,12958.349999999997,278416.81666666665,72591.01666666666,47392.700000000004,247497.8666666667,47382.48333333332,8177.400000000001,18763.56666666667,1919.7166666666667,1239965.4,398039.16666666674,57.93333333333334
2003-10-01,12885.283333333335,291441.1333333333,76416.63333333333,49643.950000000004,256892.35000000003,50312.51666666667,7838.7333333333345,18915.399999999998,1891.4833333333333,1272386.9666666666,414520.80000000005,74.06666666666668
2004-01-01,13078.466666666664,288180.4666666667,73563.91666666666,48060.166666666664,244753.36666666673,46322.51666666666,7628.599999999999,18672.266666666663,1857.733333333333,1264087.8666666667,413622.83333333326,58.25
2004-04-01,14041.683333333332,299708.26666666666,78808.28333333334,50481.05000000001,255430.85,49447.46666666666,8214.516666666666,20231.450000000004,2025.9,1288008.8,424971.2833333334,65.2
2004-07-01,14134.533333333331,294097.96666666673,79709.21666666666,50193.58333333334,258619.36666666667,52779.36666666668,8942.31666666667,20297.266666666666,2112.25,1282413.633333333,427118.6166666665,65.46666666666667
