,АДЫГ,АЛТА,АЛТК,АМУР,АРХА,АСТР,БАШК,БЕЛГ,БРЯН,БУРЯ,ВЛАД,ВОЛГ,ВОЛО,ВОРО,ДАГЕ,ЕВРЕ,ЗАБА,ИВАН,ИНГУ,ИРКУ,КАБА,КАЛИ,КАЛМ,КАЛУ,КАМЧ,КАРА,КАРЕ,КЕМЕ,КИРО,КОМИ,КОСТ,КРАС,КРАЯ,КРЫМ,КУРГ,КУРС,ЛЕНИ,ЛИПЕ,МАГА,МАРИ,МОРД,МОСГ,МОСК,МУРМ,НИЖЕ,НОВГ,НОВО,ОМСК,ОРЕН,ОРЛО,ПЕНЗ,ПЕРМ,ПРИМ,ПСКО,РОСТ,РЯЗА,САМА,САНК,САРА,САХА,СВЕР,СЕВА,СЕВЕ,СМОЛ,СТАВ,ТАМБ,ТАТА,ТВЕР,ТОМС,ТУЛЬ,ТЫВА,ТЮМЕ,УДМУ,УЛЬЯ,ХАБА,ХАКА,ЧЕЛЯ,ЧЕЧЕ,ЧУВА,ЧУКО,ЯКУТ,ЯРОС
2006-01-01,-239,-19,-1876,-651,-801,-540,-1816,-1123,-1630,-195,-1670,-1777,-967,-2526,1717,-154,-525,-1474,415,-1436,-49,-1001,-20,-985,-97,8,-593,-2748,-1507,-558,-775,-3191,-1538,0,-871,-1488,-1972,-1097,-67,-495,-757,-5086,-6078,-360,-3917,-929,-1770,-1363,-1305,-929,-1376,-2282,-1399,-1210,-3290,-1264,-2569,-3772,-2254,-423,-3303,0,9,-1348,-1756,-1434,-1954,-2043,-468,-2237,73,190,-937,-1247,-911,-305,-2812,1529,-777,2,87,-1330
2006-02-01,-243,63,-1244,-370,-650,-298,-920,-882,-1119,-65,-1350,-1447,-807,-2190,1810,-88,-230,-1057,501,-970,-115,-735,24,-866,9,-128,-425,-1550,-1045,-254,-679,-2546,-928,0,-509,-1133,-1532,-914,-42,-371,-664,-3345,-4376,-143,-2953,-756,-1124,-976,-781,-684,-1273,-1320,-912,-960,-2895,-1270,-1566,-2810,-1525,-201,-1948,0,-68,-1062,-1354,-1135,-1084,-1522,-289,-1800,117,987,-277,-1049,-460,-154,-1404,1889,-434,17,360,-1040
2006-03-01,-272,30,-1022,-356,-636,-283,-824,-846,-1277,14,-1354,-1738,-799,-2103,1675,-40,-292,-1191,423,-634,-96,-695,16,-701,53,19,-504,-1229,-1224,-231,-622,-2365,-848,0,-588,-1134,-1731,-830,-45,-304,-690,-3275,-4586,-276,-3108,-699,-1055,-773,-809,-811,-1227,-1181,-982,-1117,-2980,-1177,-1455,-2546,-1716,-192,-1612,0,-106,-1131,-1158,-975,-1046,-1717,-192,-1812,150,1081,-269,-802,-486,-142,-1386,1990,-522,13,505,-1052
2006-04-01,-209,77,-1201,-299,-442,-290,-972,-768,-1133,-17,-1117,-1308,-706,-1795,1684,-115,-191,-977,412,-494,-45,-655,18,-780,10,-18,-366,-1454,-921,-273,-554,-2169,-809,0,-470,-1010,-1512,-734,-11,-338,-541,-2594,-4275,-264,-2825,-719,-911,-757,-874,-630,-1028,-1135,-764,-898,-2267,-995,-1555,-2531,-1499,-196,-1503,0,-81,-1044,-1039,-1037,-1092,-1493,-276,-1619,181,1131,-356,-988,-446,-184,-1175,1756,-498,18,422,-1056
2006-05-01,-241,-4,-1394,-380,-638,-281,-1316,-919,-1104,-77,-1355,-1459,-728,-2133,1790,-81,-224,-1089,470,-750,-29,-551,18,-788,-46,23,-520,-1611,-1101,-303,-623,-2523,-802,0,-578,-1058,-1640,-904,-29,-447,-657,-2818,-4691,-213,-3075,-723,-1247,-819,-997,-677,-1056,-1530,-910,-832,-2596,-1154,-1901,-2937,-1793,-213,-1981,0,-94,-1222,-1239,-1002,-1169,-1588,-365,-1798,221,1140,-566,-940,-753,-156,-1540,1807,-477,0,375,-1097
2006-06-01,-163,66,-1114,-143,-581,-99,-715,-712,-994,-25,-1174,-1089,-689,-1772,1817,-34,-90,-992,375,-404,25,-551,106,-780,-57,9,-376,-1213,-919,-235,-460,-1653,-794,0,-358,-823,-1649,-704,-48,-259,-410,-2219,-4464,-195,-2782,-635,-1090,-690,-681,-513,-956,-993,-731,-896,-2008,-966,-1284,-2274,-1226,-189,-1637,0,29,-928,-774,-795,-1081,-1414,-226,-1725,199,1096,-487,-740,-417,-232,-1193,1772,-379,24,376,-941
2006-07-01,-87,46,-733,-132,-205,-241,-657,-604,-758,40,-969,-1089,-584,-1653,2112,-21,-24,-783,430,-428,149,-417,93,-553,43,47,-237,-1273,-669,-121,-397,-1022,-444,0,-328,-768,-1269,-687,-39,-277,-451,-1574,-3593,-92,-2278,-481,-725,-483,-434,-483,-778,-1001,-732,-756,-1500,-815,-1298,-2025,-1088,-113,-1152,0,92,-758,-433,-727,-656,-1100,-77,-1395,231,1267,-263,-666,-323,-50,-1255,1742,-321,28,357,-808
2006-08-01,-120,52,-639,-100,-373,49,-428,-434,-744,107,-931,-811,-379,-1363,2481,-1,73,-823,499,-236,196,-250,86,-475,-1,9,-315,-1053,-701,-178,-390,-1604,-350,0,-303,-776,-1343,-544,-35,-147,-485,-1207,-3600,-208,-2240,-437,-686,-422,-313,-334,-796,-834,-428,-651,-1744,-911,-975,-1788,-898,-72,-941,0,226,-762,-820,-679,-666,-1197,-32,-1434,208,1240,-93,-717,-203,-6,-904,2197,-256,27,358,-821
2006-09-01,-89,80,-927,-180,-414,16,-685,-526,-819,179,-988,-612,-468,-1496,2760,-30,-83,-871,489,-432,214,-378,93,-587,-23,72,-394,-1243,-704,-136,-358,-747,-515,0,-319,-775,-1407,-571,-20,-225,-299,-2563,-3730,-129,-2452,-484,-757,-507,-379,-467,-732,-1101,-408,-698,-1301,-885,-1253,-1895,-1006,-36,-1548,0,105,-798,-580,-707,-700,-1160,-209,-1524,149,1491,-270,-658,-223,-40,-1036,2042,-297,22,324,-825
2006-10-01,-120,62,-871,-216,-547,-1,-740,-647,-948,186,-1281,-844,-568,-1969,2348,-73,-39,-994,418,-423,114,-481,34,-694,43,91,-416,-1353,-998,-167,-467,-1098,-470,0,-491,-1024,-1534,-797,-22,-324,-526,-2739,-4448,-198,-2853,-588,-903,-688,-611,-587,-871,-1165,-572,-781,-1428,-1027,-1589,-2749,-1297,-90,-1405,0,171,-916,-544,-953,-853,-1398,-107,-1840,279,1293,-268,-815,-423,-51,-1291,1840,-598,16,480,-1066
