,РО,УБ,УВ,УУ
2006-01-01,109422,-166033,-37608,-5417
2006-02-01,114069,-145383,-31263,-4962
2006-03-01,129178,-156840,-31977,-6269
2006-04-01,113392,-137952,-28927,-6102
2006-05-01,125100,-153695,-32981,-7132
2006-06-01,124238,-139488,-32033,-6663
2006-07-01,125927,-129345,-31765,-6293
2006-08-01,140228,-138034,-32152,-6641
2006-09-01,123950,-129940,-29026,-5627
2006-10-01,130757,-144052,-32458,-5727
2006-11-01,122258,-137712,-30984,-5222
2006-12-01,117702,-135751,-29362,-4926
2007-01-01,125368,-153086,-31868,-5745
2007-02-01,117186,-132796,-25738,-4412
2007-03-01,129618,-149525,-29390,-5705
2007-04-01,116527,-135056,-27204,-5681
2007-05-01,136795,-150814,-31117,-6444
2007-06-01,127509,-131214,-28704,-5667
2007-07-01,142686,-132420,-31257,-6020
2007-08-01,149912,-134928,-31405,-6149
2007-09-01,132454,-123523,-26187,-4939
2007-10-01,154324,-145143,-31266,-5662
2007-11-01,135487,-136896,-29672,-4919
2007-12-01,134521,-136315,-28705,-4496
2008-01-01,141262,-161352,-34019,-5105
2008-02-01,132405,-136778,-26292,-4678
2008-03-01,133235,-145151,-27666,-5242
2008-04-01,140213,-144436,-29019,-5452
2008-05-01,132539,-143261,-28702,-5652
2008-06-01,131845,-133877,-27053,-5379
2008-07-01,163520,-138489,-32233,-5910
2008-08-01,148284,-125562,-27414,-5119
2008-09-01,151064,-136088,-28496,-4833
2008-10-01,160158,-140622,-30242,-5135
2008-11-01,132407,-124265,-26460,-4252
2008-12-01,150549,-141766,-30179,-4783
2009-01-01,137503,-149464,-31184,-4831
2009-02-01,133343,-128191,-25299,-4254
2009-03-01,151027,-149753,-28124,-5271
2009-04-01,142828,-137495,-27162,-5188
2009-05-01,135218,-132147,-26202,-5332
2009-06-01,149348,-134915,-28661,-5593
2009-07-01,163309,-132058,-30092,-5396
2009-08-01,151739,-119972,-25965,-4752
2009-09-01,156717,-128178,-26986,-4816
2009-10-01,154049,-133771,-27988,-4460
2009-11-01,135173,-130265,-26679,-4120
2009-12-01,153910,-144419,-30301,-4306
2010-01-01,132371,-142343,-30016,-3957
2010-02-01,135015,-130824,-26384,-3493
2010-03-01,160950,-145834,-28192,-4595
2010-04-01,143644,-132407,-26556,-4738
2010-05-01,139043,-131500,-26347,-4763
2010-06-01,157813,-134394,-29843,-4802
2010-07-01,158207,-143780,-33457,-4783
2010-08-01,159610,-152172,-35032,-4747
2010-09-01,150999,-127522,-27789,-4238
2010-10-01,149774,-127264,-27862,-3994
2010-11-01,148731,-127211,-27918,-4118
2010-12-01,153466,-134701,-29647,-3740
2011-01-01,132954,-138267,-28504,-3737
2011-02-01,133593,-126816,-24853,-3373
2011-03-01,157425,-144793,-28724,-4145
2011-04-01,133954,-126340,-24963,-4150
2011-05-01,136564,-133591,-27107,-4599
2011-06-01,148089,-126275,-26850,-4312
2011-07-01,155221,-123240,-28614,-4143
2011-08-01,173166,-128411,-29876,-4137
2011-09-01,158052,-123269,-26773,-3856
2011-10-01,153789,-126272,-26428,-3747
2011-11-01,156028,-127692,-27109,-3529
2011-12-01,154993,-126661,-26636,-3244
2012-01-01,143790,-134379,-27557,-3694
2012-02-01,150544,-128827,-26596,-3128
2012-03-01,157323,-132214,-26451,-3761
2012-04-01,140563,-124768,-25421,-3877
2012-05-01,160160,-134513,-29578,-4562
2012-06-01,153359,-121644,-27748,-3948
2012-07-01,170949,-123155,-30457,-4050
2012-08-01,176707,-120516,-29595,-3835
2012-09-01,155869,-115023,-26122,-3245
2012-10-01,177661,-133371,-30428,-3672
2012-11-01,157272,-122101,-28125,-3236
2012-12-01,152066,-127216,-29152,-2871
2013-01-01,158930,-144923,-32274,-3537
2013-02-01,142973,-120073,-25644,-2864
2013-03-01,146062,-130069,-27750,-3400
2013-04-01,152913,-129533,-28561,-3867
2013-05-01,152496,-127553,-29119,-4051
