,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y
2005-01-01,649431.3,260642.4999999999,335090.7999999999,469230.0000000001,2213242.8,1351254.0000000005,232006.60000000003,889175.9999999998,1111175.2000000002,779148.9333333335,697359.6000000001,54925.0,145655.59999999995,758313.9999999999,233051.80000000002,317589.19999999995,301676.39999999997,447836.4,448466.5,1588170.8,349309.2,257080.39999999994,537539.7,259333.99999999997,124114.09999999999
2005-04-01,665053.6000000001,262378.1,330799.49999999994,465931.30000000005,2218691.2999999993,1354390.8999999997,234333.19999999992,897170.1999999998,1118524.7000000004,778804.0333333332,699904.9999999999,55376.700000000004,146033.30000000002,780273.2999999999,235627.30000000002,317315.5999999999,305200.1,454907.99999999994,451383.30000000005,1600279.7000000007,348296.7,256081.7,538033.9,262395.20000000007,124298.7
2005-07-01,679622.2,265167.0,328820.9,461230.89999999997,2245012.8999999985,1352723.2999999998,236103.90000000002,902665.2000000003,1131280.9000000006,781744.1571428574,703574.2000000001,56051.09999999999,148412.3,804127.5,240333.69999999998,319368.0,306442.69999999995,456100.70000000007,453249.5,1621592.9999999998,344395.1,258273.10000000003,540602.6,263539.30000000005,122078.2
2005-10-01,662239.3,267730.80000000005,333589.69999999995,460017.80000000005,2267813.8000000003,1356192.999999999,235967.90000000008,914697.2,1142731.7999999998,780132.9266666668,708521.7,56823.80000000001,152485.1,816697.0000000001,241281.6,322896.7,308658.50000000006,453988.39999999997,453774.2000000001,1629828.2,346869.3999999999,254352.49999999994,552205.2999999999,262285.9,119622.1
2006-01-01,667401.3,269186.0,351020.3,463922.6000000001,2301951.599999999,1392602.5,231679.69999999998,925628.7000000002,1151579.0999999999,787248.8999999999,715109.9,58936.7,160911.7,828140.7,247194.10000000003,323090.89999999997,310526.3,470847.10000000003,452325.80000000005,1658569.5000000007,354303.60000000003,254707.8,545897.5,264346.89999999997,127420.1
2006-04-01,670199.8,274894.4,355402.1000000001,454901.99999999994,2313948.900000001,1392930.4999999998,244609.99999999994,934601.7999999998,1155445.9,780313.4999999998,720159.0,60244.09999999999,163100.00000000003,818132.2,249197.60000000003,329681.59999999986,318188.4,466709.20000000007,455023.3,1657508.5000000002,351107.8,252202.5,545074.0,262552.6,132118.7
2006-07-01,656921.0,266875.69999999995,363113.4,446123.5999999999,2321594.2,1388607.7000000004,247277.4,948736.7999999998,1161878.9999999998,771373.5000000001,725028.5999999999,59922.399999999994,164743.9,823641.7000000003,247071.30000000002,331287.69999999995,320233.99999999994,464884.69999999995,451768.1,1661102.0000000005,360926.5000000002,247451.3,542253.6999999998,265437.10000000003,123270.80000000002
2006-10-01,662460.7000000002,267538.30000000005,369100.5,443483.0,2341375.1000000006,1406742.4000000006,242770.30000000002,949800.7,1191722.3000000003,757091.0000000001,737589.6000000001,59803.99999999999,165433.4,834463.7000000001,247789.39999999997,333889.10000000003,325200.5,466857.2,453658.4,1672550.3000000003,371554.6000000001,243333.40000000002,541027.9,262475.4,116490.00000000001
2007-01-01,650688.1000000003,256527.60000000003,374607.50000000006,435842.5,2354414.8999999994,1407118.0,234225.90000000008,961319.9999999997,1197852.3000000005,751754.8999999999,743023.0,59774.4,166196.30000000005,847901.9000000003,248221.59999999998,333798.59999999986,323472.6,458563.20000000007,452778.20000000007,1669568.7000000007,378706.89999999997,241273.80000000002,542663.3,262098.79999999996,124084.79999999999
2007-04-01,632453.2,252388.2000000001,379757.4,435720.5000000001,2375478.3000000007,1411684.2000000011,241536.80000000008,989031.0999999999,1216781.1,748993.6999999998,750674.2,59977.200000000004,169603.59999999998,823349.2999999999,249894.70000000004,337646.1999999999,325390.9,463680.7,452235.30000000005,1686656.4999999998,382542.99999999994,240913.1,549410.4,261718.29999999996,111600.0
