,AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
2005-01-01,180409.6,45680.0,255802.4,104122.4,1975248.1,251218.20000000004,242563.5,58780.43333333332,794380.4,444226.1,67941.3,54183.1,684579.5,282075.60000000003,143058.0,122378.59999999999,166337.90000000002,255696.89999999997,53329.40000000001,301685.10000000003,389822.9,451328.2,280743.3,94770.7,260902.3,37052.299999999996,87314.20000000001,136223.3,64091.6,512257.10000000003,83638.59999999999,1151992.2,407771.6,29134.500000000004,539645.2,144075.1,158844.5,586465.2,51527.299999999996,165924.9,36025.7,262350.9,1151230.7000000002,106765.8,27009.799999999996,409220.7,342048.1,64861.1,260816.50000000003,33270.0
2005-04-01,182232.59999999998,46037.9,261455.1,104811.20000000001,1993360.3,252748.5,243854.60000000003,57674.83333333333,800074.4,445920.89999999997,68426.8,54861.200000000004,684269.4,284371.7,143951.8,123296.49999999999,169078.8,259228.49999999994,53482.6,304846.0,390634.4,452281.0,281106.8,94987.3,262069.69999999998,37005.299999999996,88227.10000000002,140070.5,64626.5,513621.99999999994,84278.8,1163318.0,408463.4,29237.199999999997,543056.9,145521.9,159252.40000000002,589423.8,52099.69999999999,166678.50000000003,35793.09999999999,263264.3,1145669.3,107992.0,26899.2,414311.80000000005,345310.3,66184.19999999998,262110.90000000002,34005.4
2005-07-01,182059.0,45862.5,266937.1,105638.09999999999,2020906.1000000003,254177.00000000003,243517.4,57839.85714285714,816418.7000000001,447071.79999999993,68979.09999999999,55968.99999999999,687728.1000000002,286008.80000000005,144659.09999999998,124276.70000000001,170339.5,254863.5,53677.49999999999,310478.00000000006,394733.4,449415.29999999993,285836.2,95689.6,263178.60000000003,37323.2,89311.70000000001,139676.09999999998,64976.299999999996,518200.20000000007,83778.7,1176322.9000000001,412363.99999999994,29195.999999999993,546821.0,145717.5,161116.6,595029.3999999999,52185.00000000001,167414.19999999998,36028.899999999994,267001.9,1147853.3,110286.2,27070.3,419622.89999999997,345224.7,65340.2,265300.7,33090.5
2005-10-01,184197.40000000002,46434.29999999999,268225.60000000003,107919.7,2036427.7999999998,251785.80000000005,246608.9,64314.12666666667,814746.2999999999,452627.3,69849.0,55810.8,687648.6,285874.3,142583.7,122672.49999999999,171068.40000000002,253193.69999999998,54229.200000000004,311820.89999999997,395348.6,450179.4000000001,283051.0,98848.60000000003,264245.9,38045.1,90642.8,140780.30000000002,64741.100000000006,518622.29999999993,83745.9,1188748.0,415790.5999999999,29399.899999999994,546679.7,145268.99999999997,163006.8,596519.8,52771.9,168325.90000000002,36188.6,268701.80000000005,1160437.9,112602.29999999999,27190.199999999993,420271.79999999993,351461.50000000006,65541.0,262701.8,33506.8
2006-01-01,184321.4,47448.9,274102.5,107388.6,2081090.5999999999,256681.2,255018.39999999997,60939.700000000004,830109.5999999999,449931.5,69988.0,57446.700000000004,702117.0,289088.3,144904.9,128015.79999999999,173536.5,251767.8,54296.600000000006,311998.2,397444.6,444737.79999999993,283718.6,96966.09999999999,263960.3,37772.1,89671.69999999997,144020.7,65413.100000000006,522500.8,85658.7,1207408.4999999998,431152.10000000003,29895.799999999996,542733.4,158555.5,167853.40000000002,590722.7,52414.399999999994,170299.2,36110.700000000004,270657.30000000005,1201133.7,115766.3,27452.699999999997,425756.49999999994,355891.80000000005,66238.29999999999,266612.5,35837.8
2006-04-01,185569.4,48956.899999999994,275149.60000000003,108942.50000000003,2074999.5,255296.69999999998,252495.9,61794.5,831920.0000000001,449871.9,70499.0,58453.80000000001,703886.0999999999,289620.20000000007,146271.0,129638.59999999999,174598.00000000003,249432.19999999998,54634.3,312097.0,398639.3,446005.8999999999,285559.0,98593.1,265977.8,38426.4,93302.90000000001,145833.19999999998,65261.3,528154.5,85849.2,1198854.5,434157.8,30640.6,543380.6,154260.69999999998,168450.8,594669.2,53619.9,170569.00000000003,36582.49999999999,272968.5,1217201.0,117785.7,27272.9,424612.29999999993,356666.00000000006,66475.5,266967.2,37383.99999999999
2006-07-01,185363.09999999998,49451.3,278388.3,107948.20000000001,2085562.2000000002,258202.19999999995,252772.30000000002,61316.9,832637.6,451031.89999999997,70965.7,57229.399999999994,703175.2,290634.4,145239.1,128694.59999999999,173751.69999999998,246936.19999999992,54301.799999999996,313402.10000000003,396870.1,443750.60000000003,281024.4,98638.10000000002,263223.0,38956.399999999994,90803.90000000001,144739.0,65729.1,524829.7000000001,85714.4,1189466.2999999998,433632.6999999999,30477.199999999997,541549.3,152745.2,170041.9,598255.6000000001,54140.1,170445.5,36393.3,271431.0,1230050.6,119660.40000000001,27158.4,424006.2,358371.30000000005,66460.5,267133.39999999997,38824.3
2006-10-01,185608.3,50948.40000000001,281740.2,107371.90000000002,2096209.9,257968.59999999998,255842.6,60564.299999999996,840758.5,454316.79999999993,70875.9,57941.80000000001,708125.3,292730.5,146927.30000000002,129298.60000000002,173239.8,246263.30000000002,54320.49999999999,314301.99999999994,403365.10000000003,441109.7,280727.0,99259.2,263233.7,39425.600000000006,90707.6,145225.80000000002,67868.0,527973.7999999999,86369.2,1201261.9,438050.0,30878.699999999993,540011.9,152515.1,171866.2,601513.7999999999,53319.90000000001,171984.6,36142.299999999996,273217.3,1253166.0999999999,121879.5,26887.3,423468.3,363776.1,66665.49999999999,267126.19999999995,39851.3
2007-01-01,184452.6,51233.99999999999,282034.19999999995,104765.8,2085530.8,259654.69999999995,263940.69999999995,60900.99999999999,832163.1,448220.8,70415.70000000001,58357.700000000004,708458.5999999999,292470.2,149724.6,133849.40000000002,170386.00000000003,237673.89999999994,53645.0,311691.7,402267.2,443489.69999999995,279413.9000000001,99009.5,260133.3,40313.100000000006,92903.3,143952.10000000003,65346.90000000001,522226.9,86039.3,1236119.4000000001,439058.80000000005,31109.099999999995,541031.2000000001,153546.80000000002,169087.1,604763.8,53039.49999999999,171948.6,37978.299999999996,265715.1,1264041.9000000001,121763.10000000002,26753.800000000003,425335.4,366616.1000000001,66091.70000000001,267612.2,40200.2
2007-04-01,185703.09999999998,52120.899999999994,284179.2,105424.8,2097896.6,263543.29999999993,263928.6,62348.30000000001,833858.9,451973.5,70616.4,58502.2,711329.3999999999,297661.9,152059.09999999998,134585.09999999998,171490.90000000002,235685.7,54150.200000000004,314416.0,405751.30000000005,442468.30000000005,283823.7,99176.69999999998,264504.4,40742.8,92478.3,143100.1,66550.3,528193.2000000001,86766.80000000002,1198313.4000000001,436652.79999999993,31616.1,540587.7999999999,155663.59999999998,170866.4,608601.0,52059.299999999996,174581.1,38129.3,267665.6,1290076.5999999996,124912.30000000002,26879.300000000003,425836.10000000003,376891.30000000005,66398.90000000001,267626.80000000005,40730.200000000004
