,ACC,ADM,AGR,ART,CON,DUR,EDC,FIN,GOV,HLT,INF,MIN,MNG,NDU,OTH,PRO,RER,RET,TRA,UTI,WHO
2005-01-01,448541.69999999995,409051.9999999999,190671.69999999998,142839.59999999998,793179.9333333333,873530.8,168392.2,1015221.7999999999,1959519.3000000003,975228.2999999996,589274.5,270210.10967741936,282960.0,1036441.1000000001,388394.8,949323.2,1771599.9000000001,955538.6,429390.4999999999,217100.79999999996,945222.6000000004
2005-04-01,448632.29999999993,414851.9,196629.99999999994,143796.5,785919.3333333333,877793.6000000002,167555.80000000002,1039820.3,1961275.4999999995,981984.1,599195.8000000002,270971.2825396826,276892.00000000006,1033650.0999999999,388167.6000000001,944977.9999999997,1786784.8999999992,979994.7999999998,436866.30000000005,216078.0,950503.0999999999
2005-07-01,452795.80000000005,418076.6999999999,197454.3,145298.1,780699.557142857,893915.8999999998,169153.30000000002,1068510.1,1966630.8000000003,999319.6,596088.7000000001,251995.1692913386,276248.50000000006,1027743.0999999997,390084.10000000003,952094.0,1796688.3000000005,1002377.5,461051.10000000003,219414.70000000004,957731.5
2005-10-01,455692.30000000005,420413.10000000003,197628.70000000007,145318.9,774414.8266666668,923705.7999999997,168846.30000000002,1083520.9,1974273.5000000002,1005093.2000000001,597740.7000000001,246917.76274509798,275953.7,1032287.4,389884.39999999985,958391.4000000001,1813262.7999999998,976360.6000000001,467412.00000000006,219708.60000000003,975455.1999999998
2006-01-01,464260.10000000003,425093.49999999994,195578.40000000002,148428.69999999995,790345.8,951985.7,171578.90000000002,1100031.8,1970044.4,1027350.2999999999,597806.9000000004,287011.7999999999,281488.4000000001,1064880.3999999997,392458.39999999985,981238.7999999998,1807020.5999999999,989218.0999999996,467697.5000000001,219335.79999999996,982441.4999999998
2006-04-01,462703.69999999984,423165.0,213042.49999999997,149615.9,775458.1999999997,957166.0999999999,173146.70000000004,1083979.3999999997,1974584.3999999994,1034955.1999999998,609903.8999999999,289953.60000000003,279170.10000000003,1054262.1999999997,392653.7,984199.7000000002,1808418.9999999998,996563.5000000001,479006.0999999999,236344.59999999998,980745.2999999998
2006-07-01,464039.80000000005,423319.30000000005,197489.7,148067.00000000003,761858.2000000001,955981.7999999999,173073.10000000003,1094137.3000000005,1981771.2999999996,1032020.7999999999,631821.6,297389.30000000005,273431.6,1054322.8999999997,390262.4,988262.8000000002,1821158.4,973862.2000000002,477884.7999999999,238415.70000000004,983707.2000000002
2006-10-01,462924.3,428028.6999999999,188892.1000000001,149452.90000000002,741297.1999999998,970263.0,173388.0,1103587.2,1985077.7000000004,1036613.2999999999,627581.8000000003,315004.80000000005,273267.0,1075418.5000000002,388486.29999999993,998212.0,1865962.6000000003,984859.7,474955.19999999995,232700.9,988940.6000000001
2007-01-01,463106.4,435811.8,188126.60000000006,149963.20000000007,745611.8,968714.2,173177.50000000003,1119913.0000000002,1989425.6000000006,1028067.8999999999,645652.6000000002,319991.50000000006,273994.8,1057770.9,385856.40000000014,999778.2999999997,1876329.0000000007,970082.2000000004,462627.6000000001,230063.30000000005,993026.7
2007-04-01,458755.50000000006,445953.9,174354.40000000002,149652.30000000005,756049.2999999999,992291.6999999997,174135.59999999995,1092041.5999999999,1993818.8000000003,1031578.7999999999,666438.3,327266.60000000003,268243.0,1069619.2999999998,382509.60000000015,1004689.7999999998,1884654.4,944498.9,476848.20000000024,238257.20000000004,1018056.6000000003
2007-07-01,454310.6000000001,453914.4,168248.69999999995,151953.30000000005,747912.2000000003,1021507.0000000002,176206.09999999992,1060876.7999999998,1998503.1999999997,1041220.7000000004,688239.6,320902.5,268126.5,1074857.9999999993,379983.9,1031950.2,1908070.4999999995,947812.3,466631.89999999997,236263.49999999985,1020602.5
2007-10-01,456332.69999999995,460049.39999999997,174162.19999999998,151352.1,724835.9000000001,1026706.4999999999,178704.29999999996,997314.5,2011259.8999999997,1055322.0000000002,710405.3000000004,306088.29999999993,270077.99999999994,1116914.8,377467.4,1063148.6000000003,1942077.4,953474.0000000002,478910.0000000001,240552.30000000002,1036531.7999999998
2008-01-01,448342.7999999999,451275.40000000014,184348.58666666667,150992.8,689191.8,1017839.5000000001,180723.69999999998,1017656.4999999999,2024914.9999999998,1077504.4000000001,709697.1000000001,290131.3333333333,268173.4,1039906.9999999999,371666.99999999994,1077970.6,1940224.5000000005,936908.6,472348.7000000001,242944.30000000002,1032786.3000000003
