"","eu_clusted@cluster","eu_clusted@cluster"
"ALINF",1,1
"ALAGR",2,2
"ALRET",1,1
"ALTRA",3,3
"ALNDU",4,4
"ALHLT",5,5
"ALDUR",6,6
"ALACC",6,6
"ALUTI",7,7
"ALMNG",8,8
"ALADM",9,9
"ALMIN",10,10
"ALRER",11,11
"ALEDC",12,12
"ALART",13,13
"ALOTH",4,4
"ALFIN",14,14
"ALWHO",15,15
"ALPRO",5,5
"ALGOV",16,16
"ALCON",4,4
"AKINF",6,6
"AKAGR",17,17
"AKRET",2,2
"AKTRA",16,16
"AKNDU",18,18
"AKHLT",5,5
"AKDUR",13,13
"AKACC",18,18
"AKUTI",7,7
"AKMNG",11,11
"AKADM",12,12
"AKMIN",17,17
"AKRER",11,11
"AKEDC",17,17
"AKART",9,9
"AKOTH",4,4
"AKFIN",19,19
"AKWHO",3,3
"AKPRO",12,12
"AKGOV",7,7
"AKCON",19,19
"AZINF",8,8
"AZAGR",1,1
"AZRET",15,15
"AZTRA",20,20
"AZNDU",21,21
"AZHLT",5,5
"AZDUR",8,8
"AZACC",22,22
"AZUTI",7,7
"AZMNG",6,6
"AZADM",20,20
"AZMIN",3,3
"AZRER",20,20
"AZEDC",11,11
"AZART",6,6
"AZOTH",10,10
"AZFIN",23,23
"AZWHO",15,15
"AZPRO",8,8
"AZGOV",24,24
"AZCON",10,10
"ARINF",16,16
"ARAGR",2,2
"ARRET",20,20
"ARTRA",10,10
"ARNDU",2,2
"ARHLT",5,5
"ARDUR",10,10
"ARACC",23,23
"ARUTI",7,7
"ARMNG",6,6
"ARADM",5,5
"ARMIN",11,11
"ARRER",11,11
"AREDC",11,11
"ARART",11,11
"AROTH",10,10
"ARFIN",17,17
"ARWHO",20,20
"ARPRO",8,8
"ARGOV",24,24
"ARCON",4,4
"CAINF",8,8
"CAAGR",6,6
"CARET",1,1
"CATRA",20,20
"CANDU",18,18
"CAHLT",5,5
"CADUR",5,5
"CAACC",20,20
"CAUTI",9,9
"CAMNG",6,6
"CAADM",8,8
"CAMIN",17,17
"CARER",6,6
"CAEDC",11,11
"CAART",6,6
"CAOTH",10,10
"CAFIN",14,14
"CAWHO",20,20
"CAPRO",5,5
"CAGOV",20,20
"CACON",10,10
"COINF",13,13
"COAGR",2,2
"CORET",20,20
"COTRA",6,6
"CONDU",21,21
"COHLT",5,5
"CODUR",9,9
"COACC",20,20
"COUTI",7,7
"COMNG",6,6
"COADM",20,20
"COMIN",6,6
"CORER",5,5
"COEDC",11,11
"COART",6,6
"COOTH",15,15
"COFIN",14,14
"COWHO",20,20
"COPRO",5,5
"COGOV",8,8
"COCON",15,15
"CTINF",8,8
"CTAGR",2,2
"CTRET",22,22
"CTTRA",18,18
"CTNDU",4,4
"CTHLT",11,11
"CTDUR",12,12
"CTACC",7,7
"CTUTI",17,17
"CTMNG",6,6
"CTADM",20,20
"CTMIN",2,2
"CTRER",24,24
"CTEDC",11,11
"CTART",17,17
"CTOTH",4,4
"CTFIN",21,21
"CTWHO",13,13
"CTPRO",8,8
"CTGOV",4,4
"CTCON",4,4
"DEINF",12,12
"DERET",22,22
"DETRA",23,23
"DENDU",4,4
"DEHLT",5,5
"DEDUR",16,16
"DEACC",22,22
"DEUTI",13,13
"DEMNG",18,18
"DEADM",8,8
"DERER",11,11
"DEEDC",17,17
"DEART",24,24
"DEOTH",4,4
"DEFIN",14,14
"DEWHO",4,4
"DEPRO",9,9
"DEGOV",24,24
"DECON",10,10
"FLINF",8,8
"FLAGR",2,2
"FLRET",1,1
"FLTRA",8,8
"FLNDU",20,20
"FLHLT",5,5
"FLDUR",20,20
"FLACC",23,23
"FLUTI",7,7
"FLMNG",6,6
"FLADM",1,1
"FLMIN",18,18
"FLRER",20,20
"FLEDC",11,11
"FLART",11,11
"FLOTH",10,10
"FLFIN",14,14
"FLWHO",20,20
"FLPRO",20,20
"FLGOV",21,21
"FLCON",10,10
"GAINF",20,20
"GAAGR",2,2
"GARET",1,1
"GATRA",8,8
"GANDU",18,18
"GAHLT",5,5
"GADUR",6,6
"GAACC",22,22
"GAUTI",7,7
"GAMNG",23,23
"GAADM",6,6
"GAMIN",4,4
"GARER",6,6
"GAEDC",11,11
"GAART",9,9
"GAOTH",10,10
"GAFIN",9,9
"GAWHO",20,20
"GAPRO",5,5
"GAGOV",21,21
"GACON",10,10
"HIINF",16,16
"HIAGR",2,2
"HIRET",23,23
"HITRA",8,8
"HINDU",25,25
"HIHLT",5,5
"HIDUR",16,16
"HIACC",22,22
"HIUTI",7,7
"HIMNG",23,23
"HIADM",9,9
"HIMIN",21,21
"HIRER",5,5
"HIEDC",24,24
"HIART",13,13
"HIOTH",10,10
