,СЕВАУБОД,СЕВАУБОП,СЕВАУБСК,СЕВАУБИП,СЕВАУБНО,СЕВАУУСУ,СЕВАУВОА,СЕВАУУУБ,СЕВАУВТТ,КРЫМУБОД,КРЫМУБОП,КРЫМУБСК,КРЫМУБИП,КРЫМУБНО,КРЫМУУСУ,КРЫМУВОА,КРЫМУУУБ,КРЫМУВТТ,СЕВАУВДП,КРЫМУВДП,КРЫМРОРО,СЕВАРОРО
2006-01-01,-17,-36,-300,-7,-87,-3,0,-1,-3,-70,-107,-1758,-48,-304,-29,-8,-16,-31,-43,-181,1570,289
2006-02-01,-16,-30,-330,-7,-75,-3,-1,0,-2,-80,-94,-1811,-53,-301,-19,-11,-10,-22,-33,-151,1534,301
2006-03-01,-23,-30,-288,-8,-94,-4,0,-1,-4,-76,-118,-1737,-55,-341,-34,-7,-7,-18,-45,-159,1664,333
2006-04-01,-11,-28,-293,-11,-94,-5,-4,-1,-1,-73,-118,-1678,-54,-357,-37,-18,-12,-26,-52,-180,1532,302
2006-05-01,-10,-18,-315,-10,-81,-6,-2,-1,-5,-48,-125,-1734,-47,-328,-47,-12,-21,-21,-48,-170,1542,306
2006-06-01,-7,-29,-271,-18,-94,-8,-1,-4,-3,-54,-107,-1661,-54,-384,-45,-22,-9,-32,-58,-183,1630,313
2006-07-01,-3,-35,-260,-11,-107,-7,0,-2,-6,-50,-128,-1625,-51,-345,-61,-15,-13,-36,-67,-228,1779,331
2006-08-01,-5,-21,-280,-11,-112,-8,0,0,-4,-55,-140,-1580,-63,-388,-44,-5,-17,-36,-54,-224,1861,355
2006-09-01,-7,-41,-255,-12,-102,-8,-2,-2,-6,-49,-124,-1611,-55,-414,-27,-9,-19,-44,-62,-201,1764,345
2006-10-01,-4,-45,-299,-9,-86,-3,0,-2,-4,-49,-144,-1632,-67,-378,-27,-19,-15,-44,-43,-176,1798,340
2006-11-01,-8,-38,-295,-7,-80,-3,0,-3,-7,-66,-146,-1630,-69,-363,-32,-13,-13,-40,-54,-181,1658,335
2006-12-01,-8,-35,-287,-15,-79,-3,0,-2,-8,-58,-126,-1653,-70,-344,-30,-13,-12,-39,-61,-207,1693,328
2007-01-01,-17,-36,-307,-8,-89,-3,0,-1,-3,-71,-109,-1797,-49,-311,-30,-8,-16,-32,-42,-185,1667,297
2007-02-01,-16,-31,-337,-7,-76,-3,-1,0,-2,-82,-96,-1851,-54,-308,-19,-12,-11,-22,-31,-154,1675,309
2007-03-01,-23,-31,-294,-8,-96,-4,0,-1,-4,-78,-121,-1775,-56,-348,-35,-8,-7,-18,-45,-162,1788,328
2007-04-01,-11,-28,-299,-12,-96,-5,-4,-1,-1,-74,-120,-1715,-55,-364,-38,-18,-12,-26,-51,-184,1620,300
2007-05-01,-10,-18,-322,-10,-83,-6,-2,-1,-5,-49,-128,-1772,-48,-335,-48,-12,-22,-22,-47,-174,1670,314
2007-06-01,-7,-30,-276,-18,-96,-8,-1,-4,-3,-56,-109,-1698,-56,-393,-46,-22,-9,-32,-63,-187,1719,313
2007-07-01,-3,-35,-265,-11,-109,-7,0,-2,-6,-51,-131,-1661,-52,-353,-62,-15,-13,-37,-71,-233,1949,340
2007-08-01,-5,-22,-286,-11,-115,-8,0,0,-4,-56,-143,-1615,-64,-396,-45,-5,-17,-37,-54,-229,2043,371
2007-09-01,-7,-42,-261,-12,-105,-9,-2,-2,-6,-50,-127,-1646,-56,-423,-27,-9,-19,-45,-65,-205,1915,369
2007-10-01,-4,-46,-305,-9,-88,-3,0,-2,-4,-51,-147,-1668,-68,-386,-28,-19,-16,-45,-45,-180,1983,359
2007-11-01,-9,-39,-301,-8,-82,-3,0,-3,-8,-67,-149,-1666,-71,-371,-32,-13,-13,-41,-58,-185,1736,351
2007-12-01,-8,-36,-293,-16,-81,-3,0,-2,-8,-60,-129,-1689,-72,-351,-31,-13,-12,-39,-63,-211,1841,353
2008-01-01,-17,-37,-310,-8,-90,-3,0,-1,-3,-70,-107,-1761,-48,-305,-30,-8,-16,-31,-45,-181,1871,338
2008-02-01,-16,-31,-341,-7,-77,-3,-1,0,-2,-80,-94,-1814,-53,-302,-19,-11,-10,-22,-32,-151,1783,318
2008-03-01,-23,-31,-297,-8,-97,-4,0,-1,-4,-77,-119,-1740,-55,-342,-35,-7,-7,-18,-47,-159,1956,360
2008-04-01,-11,-29,-303,-12,-97,-5,-4,-1,-1,-73,-118,-1682,-54,-357,-37,-18,-12,-26,-53,-181,1803,334
2008-05-01,-10,-19,-326,-10,-84,-6,-2,-1,-5,-48,-125,-1737,-47,-329,-47,-12,-21,-21,-53,-170,1839,338
2008-06-01,-8,-30,-280,-18,-98,-9,-1,-4,-3,-55,-107,-1665,-55,-385,-45,-22,-9,-32,-65,-184,1895,341
2008-07-01,-3,-36,-268,-12,-110,-7,0,-2,-6,-50,-128,-1629,-51,-346,-61,-15,-13,-36,-69,-229,2066,366
2008-08-01,-5,-22,-289,-11,-116,-8,0,0,-4,-55,-141,-1583,-63,-388,-45,-5,-17,-37,-62,-224,2193,377
2008-09-01,-8,-42,-264,-12,-106,-9,-2,-2,-6,-49,-124,-1614,-55,-415,-27,-9,-19,-44,-61,-201,2020,393
2008-10-01,-4,-47,-309,-9,-89,-3,0,-2,-4,-50,-144,-1635,-67,-379,-28,-19,-15,-44,-50,-177,2128,365
2008-11-01,-9,-39,-305,-8,-83,-3,0,-3,-8,-66,-146,-1633,-69,-364,-32,-13,-13,-40,-55,-182,1913,346
2008-12-01,-8,-37,-296,-16,-82,-3,0,-2,-8,-58,-126,-1656,-71,-345,-30,-13,-12,-39,-58,-207,1935,352
2009-01-01,-16,-34,-288,-7,-84,-3,0,-1,-3,-65,-100,-1639,-45,-284,-27,-7,-15,-29,-46,-169,1846,328
2009-02-01,-15,-29,-317,-7,-72,-3,-1,0,-2,-75,-87,-1688,-49,-280,-17,-11,-10,-20,-32,-141,1851,292
2009-03-01,-22,-29,-276,-7,-90,-4,0,-1,-4,-71,-110,-1619,-51,-318,-32,-7,-6,-16,-46,-148,1924,365
2009-04-01,-10,-27,-282,-11,-90,-5,-4,-1,-1,-68,-110,-1564,-50,-332,-34,-17,-11,-24,-48,-168,1805,313
2009-05-01,-9,-17,-303,-9,-78,-5,-2,-1,-5,-44,-117,-1616,-43,-306,-43,-11,-20,-20,-49,-159,1801,307
2009-06-01,-7,-28,-260,-17,-91,-8,-1,-4,-3,-51,-99,-1548,-51,-358,-42,-20,-8,-30,-63,-171,1902,335
2009-07-01,-3,-33,-249,-11,-103,-6,0,-2,-5,-46,-119,-1515,-47,-322,-57,-14,-12,-33,-72,-213,2152,351
2009-08-01,-5,-20,-269,-11,-108,-8,0,0,-4,-51,-131,-1473,-58,-361,-41,-4,-16,-34,-51,-209,2192,375
2009-09-01,-7,-39,-245,-11,-98,-8,-2,-2,-6,-46,-116,-1501,-51,-386,-25,-8,-18,-41,-57,-187,2061,380
2009-10-01,-4,-43,-287,-8,-82,-3,0,-2,-4,-46,-134,-1521,-62,-352,-26,-17,-14,-41,-52,-165,2098,371
2009-11-01,-8,-36,-283,-7,-77,-3,0,-3,-7,-61,-136,-1519,-65,-338,-30,-12,-12,-37,-54,-169,1913,341
2009-12-01,-7,-34,-275,-15,-76,-3,0,-2,-7,-54,-117,-1540,-66,-321,-28,-12,-11,-36,-59,-193,1978,331
