0,A,B,F,G,J,K,L,M,O,R
2000-01-01,41099.850000000006,466946.15,117192.41666666667,399622.3833333333,101642.68333333335,105767.71666666663,225295.40000000002,201812.86666666664,366156.56666666665,71479.83333333331
2000-04-01,45701.700000000004,475471.00000000006,124899.79999999999,414226.2666666666,102874.75,105568.75,229080.9333333334,207890.78333333335,371632.61666666664,72367.83333333336
2000-07-01,50105.916666666664,469319.1166666667,124820.69999999998,420376.4,104416.06666666665,103184.31666666668,231883.1,210220.16666666663,375397.5833333334,73581.36666666665
2000-10-01,49001.38333333334,494448.23333333334,131661.33333333334,432199.13333333336,111611.85000000002,103506.73333333332,235080.28333333333,219766.5333333333,397724.0333333333,74545.36666666668
2001-01-01,42414.01666666667,490519.51666666666,121950.75,423324.9999999999,110171.04999999999,104196.85,234724.88333333336,215121.43333333332,381447.5833333333,73500.91666666666
2001-04-01,48569.89999999999,489724.06666666665,130829.13333333333,443044.9166666667,112527.53333333333,107108.46666666666,238992.6333333333,220540.7833333333,392365.35000000003,76078.51666666668
2001-07-01,52888.89999999999,473179.2833333333,130186.30000000002,445396.3666666666,112574.55,106545.55,240320.30000000005,220767.84999999998,393203.5833333334,76032.28333333331
2001-10-01,51414.95000000001,486691.3833333333,137345.71666666667,451221.8,120212.65000000002,113734.33333333334,242897.93333333326,229009.78333333333,420616.16666666674,78445.28333333334
2002-01-01,43392.81666666666,488746.3999999999,130581.59999999999,441925.15,120056.73333333331,110013.18333333332,248065.53333333335,222280.04999999993,409691.71666666656,77611.43333333333
2002-04-01,46297.24999999999,493515.4666666667,137060.4,453820.6333333334,119804.23333333337,112166.5333333333,248963.34999999998,229328.40000000002,414540.6833333333,78969.06666666665
2002-07-01,50143.65000000001,482764.18333333335,137570.93333333332,458338.05000000005,120136.79999999999,111796.28333333331,250203.7,228654.28333333338,414592.8666666667,80476.33333333334
2002-10-01,48941.5,498118.9999999999,143845.53333333333,464593.3833333334,125653.48333333334,116617.95,252858.78333333338,236717.56666666668,442305.26666666666,81626.46666666667
2003-01-01,40260.799999999996,492887.25,132743.41666666666,447127.94999999995,118994.51666666666,115695.31666666668,251389.73333333334,230744.18333333332,423310.95000000007,79982.98333333332
2003-04-01,45419.39999999998,482697.9666666666,140409.05,459376.7833333333,118502.60000000002,117651.40000000002,251722.19999999998,231001.81666666668,424763.4666666667,80344.16666666667
2003-07-01,50618.383333333324,475667.35000000003,141373.05000000002,466329.69999999995,118878.61666666667,117132.88333333333,255244.51666666672,233878.09999999998,432097.7333333334,81942.08333333333
2003-10-01,51149.116666666676,496864.3999999999,147213.38333333336,471486.78333333344,125114.70000000001,123299.71666666666,257712.2666666666,244066.63333333333,453259.18333333347,83053.13333333333
2004-01-01,43566.61666666666,499393.9833333335,140013.71666666667,462956.85,125208.03333333331,126011.3166666667,260827.68333333335,236680.43333333326,441855.41666666674,83372.4
2004-04-01,50035.3,505487.8999999999,149045.38333333333,482478.8500000001,126313.73333333332,130653.51666666666,266151.73333333334,243249.94999999995,451919.4,86098.98333333334
2004-07-01,52781.8,495954.2166666666,149667.58333333334,484324.74999999994,126686.83333333337,131861.61666666667,268341.3666666666,243745.56666666662,451403.68333333335,85716.16666666667
2004-10-01,51278.75000000001,516535.3666666667,156261.03333333333,491066.9,130662.15,136743.1333333333,269447.6666666666,251054.04999999993,473703.71666666673,87418.66666666666
2005-01-01,40997.73333333333,513845.38333333336,146415.26666666666,480484.53333333344,126812.66666666666,136697.11666666667,273887.8333333333,248055.84999999995,461479.9166666666,86461.11666666667
2005-04-01,43896.43333333334,524543.1,159762.1,500105.48333333334,129117.71666666667,143068.04999999996,278959.5,255017.1166666667,469561.9499999999,89309.98333333331
2005-07-01,48019.966666666674,513919.2499999999,160156.65,504399.9666666667,129694.58333333331,140261.60000000003,283655.8666666667,254468.68333333332,470044.8500000001,89901.48333333334
2005-10-01,46453.19999999999,536258.3166666667,168313.0,510157.0833333333,134735.9166666667,146962.38333333336,287245.8,268182.39999999997,502860.9833333333,91874.0
2006-01-01,38932.68333333333,547804.5166666667,158632.3,500168.6166666666,133027.94999999998,144353.36666666667,292504.68333333335,264647.1666666667,484823.2833333333,90794.76666666666
2006-04-01,43671.78333333333,552019.55,171494.11666666673,520868.69999999995,133779.13333333333,149147.0166666667,296551.55000000005,271933.4333333333,493034.58333333326,92374.55000000002
2006-07-01,48940.96666666667,547064.1000000001,176083.34999999998,526970.2000000002,134887.31666666665,148667.56666666668,302174.39999999997,275159.19999999995,491787.8833333333,93847.70000000003
2006-10-01,48213.666666666664,568925.9666666668,187457.45,535474.6499999999,142034.3,155993.98333333334,306807.2833333332,289473.6,520954.58333333326,96746.98333333334
2007-01-01,41356.28333333333,580691.2833333334,176345.18333333332,531396.05,142017.7666666667,157652.2333333334,313602.15,288809.38333333336,507276.2166666667,95640.83333333331
2007-04-01,46045.66666666667,581090.8666666667,187175.08333333337,551936.8166666668,142816.5,162111.31666666668,317971.0833333333,295046.2833333334,512194.66666666657,96094.49999999999
2007-07-01,52969.13333333333,575669.75,187510.63333333336,559389.0166666666,143087.6666666667,164514.71666666667,324199.08333333326,297085.2,511523.56666666665,98359.34999999999
2007-10-01,53828.59999999999,596578.3333333334,192895.34999999998,564286.4833333334,148013.44999999998,165919.53333333333,327026.1166666666,306564.2,540726.9333333332,100219.13333333332
2008-01-01,46209.71666666667,592748.0833333334,179829.2,553984.4833333333,144221.88333333336,153716.81666666665,329842.91666666674,301509.85,522645.84999999986,98801.58333333333
2008-04-01,49900.41666666666,596129.0166666668,190874.54999999993,567515.4666666667,144069.56666666665,149528.46666666667,330929.8166666667,305965.0833333333,528936.4833333333,99928.61666666665
