,m,k,h,f,j,i,n,g,e,a,b,d,c,l
2006-01-01,9311,-19204,-2296,-252,1226,-2094,32682,-111426,-1463,26961,-64811,-5716,39242,-1796
2006-02-01,9182,-16833,-2056,-255,1255,-1745,34904,-97084,-1434,27375,-55865,-4674,41353,-1662
2006-03-01,10476,-17254,-2503,-312,1451,-2005,39229,-104563,-1789,30899,-60042,-4595,47123,-2023
2006-04-01,9230,-15569,-2397,-266,1206,-1780,34300,-92043,-1653,27166,-53060,-4218,41490,-1995
2006-05-01,10131,-17549,-2829,-310,1355,-2046,37673,-102969,-1859,30684,-59042,-4816,45257,-2388
2006-06-01,10129,-17218,-2577,-322,1334,-1972,37931,-94079,-1770,29594,-53603,-4451,45250,-2192
2006-07-01,10100,-16658,-2377,-281,1414,-1753,38102,-87322,-1781,30458,-50724,-4410,45853,-2097
2006-08-01,11179,-16727,-2629,-287,1414,-1973,43208,-93841,-1726,33109,-53147,-4280,51318,-2217
2006-09-01,10063,-15345,-2197,-271,1292,-1654,37397,-88311,-1532,29298,-49368,-3994,45900,-1921
2006-10-01,10669,-17089,-2307,-261,1423,-1728,39440,-97209,-1545,31308,-55669,-4519,47917,-1910
2006-11-01,9806,-16336,-2158,-241,1220,-1855,37466,-92656,-1398,28789,-53466,-4112,44977,-1696
2006-12-01,9300,-15562,-2023,-248,1271,-1741,35617,-91856,-1319,27828,-51664,-3998,43686,-1628
2007-01-01,10312,-16908,-2397,-294,1398,-1897,39026,-103312,-1522,29803,-58060,-4436,44829,-1873
2007-02-01,9456,-13952,-1860,-240,1252,-1473,36141,-89076,-1242,27579,-50063,-3614,42758,-1426
2007-03-01,10651,-15837,-2305,-282,1324,-1659,39448,-101559,-1547,30872,-55572,-3984,47323,-1875
2007-04-01,9615,-14747,-2239,-266,1352,-1597,35519,-91093,-1589,27873,-50832,-3757,42168,-1821
2007-05-01,11022,-16557,-2621,-294,1400,-1892,41568,-101519,-1672,32927,-57433,-4315,49878,-2072
2007-06-01,10308,-15003,-2301,-249,1340,-1673,38639,-89517,-1494,30758,-49588,-3931,46464,-1829
2007-07-01,11679,-16611,-2440,-227,1544,-1717,44090,-90018,-1644,34027,-50795,-4229,51346,-2016
2007-08-01,12039,-16528,-2471,-253,1611,-1722,45782,-92037,-1641,35895,-51612,-4185,54585,-2033
2007-09-01,10718,-13769,-1930,-275,1472,-1498,40574,-83700,-1319,30956,-46844,-3638,48734,-1676
2007-10-01,12552,-16540,-2317,-267,1540,-1845,47323,-98304,-1495,36868,-55186,-4268,56041,-1849
2007-11-01,10973,-15746,-2006,-269,1511,-1603,41219,-92748,-1438,31761,-52095,-4024,50023,-1558
2007-12-01,10947,-15225,-1939,-218,1436,-1648,40368,-92551,-1203,31818,-51247,-3946,49952,-1539
2008-01-01,11569,-17940,-2245,-239,1415,-1836,43810,-109228,-1383,33577,-61247,-4661,50891,-1697
2008-02-01,10749,-14509,-1956,-237,1353,-1604,40649,-92503,-1309,31355,-50480,-3646,48299,-1504
2008-03-01,10634,-15092,-2146,-227,1496,-1700,41508,-98388,-1436,31172,-53370,-3987,48425,-1713
2008-04-01,11522,-15937,-2247,-246,1458,-1658,42628,-97886,-1476,33389,-53666,-3999,51216,-1792
2008-05-01,10524,-15093,-2309,-286,1220,-1689,40251,-96813,-1477,31092,-54263,-3904,49452,-1781
2008-06-01,10514,-14217,-2185,-238,1578,-1625,40200,-90787,-1443,31501,-50201,-3862,48052,-1751
2008-07-01,12854,-16890,-2453,-291,1700,-1863,50380,-94207,-1533,38451,-53210,-4302,60135,-1883
2008-08-01,11879,-14308,-2174,-234,1537,-1623,45327,-85209,-1397,34208,-47946,-3594,55333,-1610
2008-09-01,12196,-14835,-2037,-209,1565,-1536,46345,-92170,-1262,35477,-51784,-3964,55481,-1620
2008-10-01,12701,-15662,-2080,-245,1607,-1667,49145,-95321,-1405,36505,-53863,-4045,60200,-1711
2008-11-01,10453,-13809,-1874,-187,1389,-1577,40113,-83679,-1179,30512,-47721,-3645,49940,-1306
2008-12-01,11892,-15880,-1962,-241,1594,-1729,45845,-95598,-1326,35521,-54184,-4231,55697,-1577
2009-01-01,11169,-16440,-2068,-223,1473,-1674,42071,-100722,-1297,32070,-57136,-4305,50720,-1614
2009-02-01,10556,-13696,-1776,-213,1308,-1424,40271,-86428,-1183,31486,-48188,-3462,49722,-1374
2009-03-01,12164,-15178,-2165,-263,1499,-1641,46108,-100909,-1477,35555,-55730,-4075,55701,-1710
2009-04-01,11395,-14560,-2097,-243,1383,-1579,43328,-92473,-1447,33377,-52027,-3762,53345,-1657
2009-05-01,10694,-14162,-2085,-260,1507,-1563,40915,-89665,-1478,31396,-49142,-3573,50706,-1753
2009-06-01,11717,-15234,-2261,-236,1508,-1707,45705,-91393,-1519,34966,-51159,-3821,55452,-1839
2009-07-01,12631,-15845,-2258,-247,1695,-1743,50375,-89536,-1474,38010,-50706,-3997,60598,-1740
2009-08-01,12049,-13786,-1927,-213,1506,-1566,46370,-81140,-1349,35061,-45799,-3368,56753,-1541
2009-09-01,12113,-14237,-1983,-226,1559,-1638,47812,-86761,-1253,36316,-48508,-3755,58917,-1619
2009-10-01,12216,-14863,-1933,-190,1567,-1601,46476,-90287,-1265,35332,-50892,-3720,58458,-1468
2009-11-01,10774,-14404,-1749,-195,1316,-1495,41049,-87615,-1200,31333,-49380,-3716,50701,-1310
2009-12-01,12164,-16631,-1792,-206,1491,-1628,46257,-96962,-1263,35013,-54967,-4114,58985,-1463
2010-01-01,10552,-15705,-1691,-205,1336,-1657,39657,-95883,-1136,30426,-54643,-4086,50400,-1310
2010-02-01,10860,-14432,-1555,-187,1269,-1442,40766,-87528,-1004,31339,-49868,-3563,50781,-1122
2010-03-01,12763,-15372,-1949,-234,1636,-1616,48980,-97857,-1394,37238,-54835,-3908,60333,-1456
2010-04-01,11474,-14318,-1995,-238,1349,-1545,43026,-89112,-1341,33039,-50178,-3508,54756,-1466
2010-05-01,10850,-13974,-1894,-247,1406,-1520,41679,-88778,-1279,31741,-49688,-3611,53367,-1619
2010-06-01,12174,-15458,-1967,-245,1570,-1542,47562,-91277,-1394,35936,-51932,-3716,60571,-1508
2010-07-01,12443,-16995,-1965,-208,1473,-1646,47632,-98638,-1391,36040,-55179,-4474,60619,-1524
2010-08-01,12549,-17285,-1996,-194,1510,-1692,48617,-105112,-1357,36774,-58603,-4148,60160,-1564
2010-09-01,11935,-14983,-1735,-210,1538,-1505,45673,-86326,-1189,34256,-48718,-3509,57597,-1374
2010-10-01,11786,-15055,-1756,-174,1463,-1555,44885,-86307,-1134,33797,-48261,-3599,57843,-1279
2010-11-01,11554,-15198,-1752,-172,1442,-1603,44907,-86256,-1113,33780,-48108,-3624,57048,-1421
2010-12-01,12358,-16174,-1593,-230,1531,-1538,45553,-90797,-1110,34684,-51458,-3960,59340,-1228
2011-01-01,10396,-15211,-1596,-200,1345,-1561,39694,-94348,-1052,30492,-51584,-3687,51027,-1269
2011-02-01,10797,-13738,-1443,-171,1310,-1361,39965,-86097,-1007,30271,-46871,-3217,51250,-1137
