"","eu_clusted@cluster","eu_clusted@cluster"
"BEA",1,1
"BEB",2,2
"BEF",3,3
"BEG",2,2
"BEJ",4,4
"BEK",3,3
"BEL",5,5
"BEM",5,5
"BEO",2,2
"BER",6,6
"BGA",7,7
"BGB",6,6
"BGF",7,7
"BGG",6,6
"BGJ",7,7
"BGK",7,7
"BGL",8,8
"BGM",7,7
"BGO",8,8
"BGR",9,9
"CZA",1,1
"CZB",5,5
"CZF",6,6
"CZG",5,5
"CZJ",6,6
"CZK",8,8
"CZL",4,4
"CZM",6,6
"CZO",3,3
"CZR",1,1
"DKA",1,1
"DKB",5,5
"DKF",4,4
"DKG",5,5
"DKJ",4,4
"DKK",4,4
"DKL",3,3
"DKM",3,3
"DKO",5,5
"DKR",6,6
"DEA",3,3
"DEB",10,10
"DEF",11,11
"DEG",10,10
"DEJ",11,11
"DEK",11,11
"DEL",10,10
"DEM",10,10
"DEO",10,10
"DER",11,11
"EEA",9,9
"EEB",1,1
"EEF",7,7
"EEG",1,1
"EEJ",9,9
"EEK",9,9
"EEL",7,7
"EEM",7,7
"EEO",7,7
"EER",9,9
"IEA",1,1
"IEB",5,5
"IEF",6,6
"IEG",5,5
"IEJ",3,3
"IEK",3,3
"IEL",4,4
"IEM",3,3
"IEO",5,5
"IER",1,1
"ELA",6,6
"ELB",3,3
"ELF",6,6
"ELG",5,5
"ELJ",6,6
"ELK",6,6
"ELL",5,5
"ELM",6,6
"ELO",5,5
"ELR",6,6
"ESA",5,5
"ESB",11,11
"ESF",2,2
"ESG",10,10
"ESJ",5,5
"ESK",5,5
"ESL",2,2
"ESM",2,2
"ESO",11,11
"ESR",5,5
"FRA",5,5
"FRB",10,10
"FRF",11,11
"FRG",10,10
"FRJ",11,11
"FRK",2,2
"FRL",10,10
"FRM",10,10
"FRO",10,10
"FRR",2,2
"HRA",7,7
"HRB",6,6
"HRF",1,1
"HRG",6,6
"HRJ",7,7
"HRK",1,1
"HRL",1,1
"HRM",1,1
"HRO",8,8
"HRR",7,7
"ITA",5,5
"ITB",10,10
"ITF",2,2
"ITG",10,10
"ITJ",2,2
"ITK",2,2
"ITL",11,11
"ITM",11,11
"ITO",10,10
"ITR",2,2
"CYA",9,9
"CYB",7,7
"CYF",7,7
"CYG",8,8
"CYJ",9,9
"CYK",7,7
"CYL",7,7
"CYM",7,7
"CYO",1,1
"CYR",9,9
"LVA",9,9
"LVB",1,1
"LVF",7,7
"LVG",8,8
"LVJ",9,9
"LVK",9,9
"LVL",7,7
"LVM",7,7
"LVO",1,1
"LVR",9,9
"LTA",7,7
"LTB",6,6
"LTF",7,7
"LTG",6,6
"LTJ",7,7
"LTK",9,9
"LTL",7,7
"LTM",7,7
"LTO",8,8
"LTR",9,9
"LUA",12,12
"LUB",1,1
"LUF",1,1
"LUG",6,6
"LUJ",1,1
"LUK",4,4
"LUL",1,1
"LUM",8,8
"LUO",6,6
"LUR",9,9
"HUA",8,8
"HUB",3,3
"HUF",8,8
"HUG",3,3
"HUJ",8,8
"HUK",1,1
"HUL",6,6
"HUM",6,6
"HUO",3,3
"HUR",1,1
"MTA",12,12
"MTB",7,7
"MTF",9,9
"MTG",7,7
"MTJ",9,9
"MTK",9,9
"MTL",9,9
"MTM",9,9
"MTO",7,7
"MTR",9,9
"NLA",4,4
"NLB",11,11
"NLF",5,5
"NLG",11,11
"NLJ",5,5
"NLK",5,5
"NLL",5,5
"NLM",2,2
"NLO",11,11
"NLR",4,4
"ATA",8,8
"ATB",2,2
"ATF",3,3
"ATG",2,2
"ATJ",4,4
"ATK",4,4
"ATL",5,5
"ATM",5,5
"ATO",5,5
"ATR",6,6
"PLA",4,4
"PLB",2,2
"PLF",3,3
"PLG",2,2
"PLJ",4,4
"PLK",4,4
"PLL",3,3
"PLM",3,3
"PLO",5,5
"PLR",6,6
"PTA",8,8
"PTB",5,5
"PTF",6,6
"PTG",5,5
"PTJ",8,8
"PTK",6,6
"PTL",3,3
"PTM",4,4
"PTO",5,5
"PTR",8,8
"ROA",6,6
"ROB",5,5
"ROF",6,6
"ROG",3,3
"ROJ",8,8
"ROK",1,1
"ROL",6,6
"ROM",8,8
"ROO",4,4
"ROR",1,1
"SIA",9,9
"SIB",6,6
"SIF",1,1
"SIG",6,6
"SIJ",7,7
"SIK",7,7
"SIL",1,1
"SIM",1,1
"SIO",8,8
"SIR",7,7
"SKA",7,7
"SKB",3,3
"SKF",8,8
"SKG",4,4
"SKJ",7,7
"SKK",7,7
"SKL",8,8
"SKM",8,8
"SKO",6,6
"SKR",7,7
"FIA",8,8
"FIB",5,5
"FIF",4,4
"FIG",5,5
"FIJ",4,4
"FIK",8,8
"FIL",3,3
"FIM",4,4
"FIO",5,5
"FIR",8,8
"SEA",8,8
"SEB",2,2
"SEF",3,3
"SEG",2,2
"SEJ",3,3
"SEK",4,4
"SEL",5,5
"SEM",5,5
"SEO",2,2
"SER",4,4
"UKA",4,4
"UKB",10,10
"UKF",11,11
"UKG",10,10
"UKJ",11,11
"UKK",11,11
"UKL",10,10
"UKM",10,10
"UKO",10,10
"UKR",2,2
