,Квартальные,Сезонно сглаженные,Месячные
AR с линейным трендом (с малым числом лагов),"$(p,d,q)=(2,0,0)$, 
    $(P,D,Q)_{4}=(1,0,0)$","$(p,d,q)=(2,0,0)$
      ","$(p,d,q)=(2,0,0)$,
    $(P,D,Q)_{12}=(1,0,0)$"
AR с линейным трендом,"$(p,d,q)=(3,0,0)$,
    $(P,D,Q)_{4}=(2,0,0)$","$(p,d,q)=(4,0,0)$
    ","$(p,d,q)=(11,0,0)$,
    $(P,D,Q)_{12}=(2,0,0)$"
AR с квадратичным трендом,"$(p,d,q)=(3,0,0)$,
    $(P,D,Q)_{4}=(2,0,0)$","$(p,d,q)=(4,0,0)$
     ","$(p,d,q)=(11,0,0)$,
    $(P,D,Q)_{12}=(2,0,0)$"
Интегированная AR,"$(p,d,q)=(3,1,0)$,
    $(P,D,Q)_{4}=(2,1,0)$","$(p,d,q)=(4,1,0)$
     ","$(p,d,q)=(4,0,0)$,
    $(P,D,Q)_{12}=(1,1,0)$"
ARMA с линейным трендом,"$(p,d,q)=(3,0,1)$,
    $(P,D,Q)_{4}=(2,0,1)$","$(p,d,q)=(4,0,1)$
      ","$(p,d,q)=(4,0,1)$,
    $(P,D,Q)_{12}=(1,0,1)$"
ARIMA,"$(p,d,q)=(3,1,1)$,
    $(P,D,Q)_{4}=(2,1,1)$","$(p,d,q)=(4,1,1)$
   ","$(p,d,q)=(4,1,1)$,
    $(P,D,Q)_{12}=(1,1,1)$"
ARIMA с автоматическим подбором,      $\lambda = 1$,      $\lambda = 1$,      $\lambda = 1$
ETS с фикисированными параметрами,"$(E,T,S)=(M,M,M)$ , $\lambda = 1$","$(E,T,S)=(A,A,A)$, $\lambda = 1$","$(E,T,S)=(A,Ad,A) , $\lambda = 1$"
ETS с автоматическим подбором,$\lambda = 1$,$\lambda = 1$,$\lambda = 1$
TBATS,"$\lambda = 1$,  $T=A$ "," $\lambda = 1$,   $T=A$ ","$\lambda = 1$,  $T=Ad$ "
