"","eu_clusted@cluster","eu_clusted@cluster"
"ALINF",1,1
"ALAGR",2,2
"ALRET",3,3
"ALTRA",1,1
"ALNDU",3,3
"ALHLT",3,3
"ALDUR",4,4
"ALACC",1,1
"ALUTI",5,5
"ALMNG",6,6
"ALADM",1,1
"ALMIN",2,2
"ALRER",4,4
"ALEDC",7,7
"ALART",8,8
"ALOTH",1,1
"ALFIN",9,9
"ALWHO",3,3
"ALPRO",3,3
"ALGOV",10,10
"ALCON",5,5
"AKINF",7,7
"AKAGR",11,11
"AKRET",6,6
"AKTRA",5,5
"AKNDU",7,7
"AKHLT",2,2
"AKDUR",12,12
"AKACC",7,7
"AKUTI",8,8
"AKMNG",11,11
"AKADM",7,7
"AKMIN",3,3
"AKRER",1,1
"AKEDC",12,12
"AKART",12,12
"AKOTH",8,8
"AKFIN",7,7
"AKWHO",7,7
"AKPRO",6,6
"AKGOV",9,9
"AKCON",6,6
"AZINF",5,5
"AZAGR",2,2
"AZRET",4,4
"AZTRA",9,9
"AZNDU",1,1
"AZHLT",4,4
"AZDUR",4,4
"AZACC",9,9
"AZUTI",5,5
"AZMNG",2,2
"AZADM",3,3
"AZMIN",5,5
"AZRER",10,10
"AZEDC",2,2
"AZART",2,2
"AZOTH",5,5
"AZFIN",4,4
"AZWHO",4,4
"AZPRO",3,3
"AZGOV",10,10
"AZCON",3,3
"ARINF",1,1
"ARAGR",2,2
"ARRET",5,5
"ARTRA",1,1
"ARNDU",9,9
"ARHLT",9,9
"ARDUR",9,9
"ARACC",2,2
"ARUTI",2,2
"ARMNG",1,1
"ARADM",2,2
"ARMIN",6,6
"ARRER",9,9
"AREDC",8,8
"ARART",11,11
"AROTH",2,2
"ARFIN",1,1
"ARWHO",9,9
"ARPRO",1,1
"ARGOV",3,3
"ARCON",1,1
"CAINF",13,13
"CAAGR",10,10
"CARET",14,14
"CATRA",15,15
"CANDU",14,14
"CAHLT",14,14
"CADUR",14,14
"CAACC",15,15
"CAUTI",16,16
"CAMNG",10,10
"CAADM",15,15
"CAMIN",4,4
"CARER",13,13
"CAEDC",16,16
"CAART",10,10
"CAOTH",10,10
"CAFIN",14,14
"CAWHO",14,14
"CAPRO",13,13
"CAGOV",13,13
"CACON",14,14
"COINF",4,4
"COAGR",2,2
"CORET",4,4
"COTRA",9,9
"CONDU",9,9
"COHLT",4,4
"CODUR",3,3
"COACC",9,9
"COUTI",2,2
"COMNG",5,5
"COADM",9,9
"COMIN",3,3
"CORER",10,10
"COEDC",2,2
"COART",1,1
"COOTH",5,5
"COFIN",3,3
"COWHO",4,4
"COPRO",16,16
"COGOV",10,10
"COCON",3,3
"CTINF",3,3
"CTAGR",11,11
"CTRET",3,3
"CTTRA",1,1
"CTNDU",3,3
"CTHLT",4,4
"CTDUR",4,4
"CTACC",5,5
"CTUTI",1,1
"CTMNG",5,5
"CTADM",5,5
"CTMIN",12,12
"CTRER",10,10
"CTEDC",5,5
"CTART",2,2
"CTOTH",1,1
"CTFIN",10,10
"CTWHO",3,3
"CTPRO",3,3
"CTGOV",16,16
"CTCON",5,5
"DEINF",7,7
"DEAGR",17,17
"DERET",2,2
"DETRA",8,8
"DENDU",2,2
"DEHLT",1,1
"DEDUR",7,7
"DEACC",7,7
"DEUTI",8,8
"DEMNG",7,7
"DEADM",7,7
"DEMIN",17,17
"DERER",9,9
"DEEDC",11,11
"DEART",11,11
"DEOTH",8,8
"DEFIN",4,4
"DEWHO",2,2
"DEPRO",1,1
"DEGOV",5,5
"DECON",6,6
"FLINF",10,10
"FLAGR",9,9
"FLRET",15,15
"FLTRA",16,16
"FLNDU",4,4
"FLHLT",15,15
"FLDUR",16,16
"FLACC",10,10
"FLUTI",3,3
"FLMNG",3,3
"FLADM",10,10
"FLMIN",6,6
"FLRER",14,14
"FLEDC",9,9
"FLART",3,3
"FLOTH",16,16
"FLFIN",10,10
"FLWHO",15,15
"FLPRO",15,15
"FLGOV",14,14
"FLCON",10,10
"GAINF",10,10
"GAAGR",1,1
"GARET",16,16
"GATRA",4,4
"GANDU",10,10
"GAHLT",16,16
"GADUR",4,4
"GAACC",3,3
"GAUTI",9,9
"GAMNG",9,9
"GAADM",3,3
"GAMIN",7,7
"GARER",15,15
"GAEDC",5,5
"GAART",2,2
"GAOTH",9,9
"GAFIN",10,10
"GAWHO",10,10
"GAPRO",16,16
"GAGOV",15,15
"GACON",4,4
"HIINF",6,6
"HIAGR",8,8
"HIRET",5,5
"HITRA",1,1
"HINDU",7,7
"HIHLT",1,1
"HIDUR",11,11
"HIACC",5,5
"HIUTI",7,7
"HIMNG",8,8
"HIADM",2,2
"HIMIN",12,12
"HIRER",3,3
"HIEDC",8,8
